id,ssn,first_name,last_name,phone_number,gender,diagnosis_code
1,184-87-6017,Aaron,Russell,507-455-1551,Male,T85318S
2,931-71-6949,John,Powell,719-662-2249,Male,Y3520
3,552-36-5855,Adam,Collins,520-500-6067,Male,S204
4,734-39-6924,Evelyn,Gray,828-495-1136,Female,S95009S
5,409-92-5016,Grace,Simmons,850-770-7923,Female,S63422A
6,564-81-6919,Heather,Jenkins,936-404-2488,Female,K0532
7,643-68-7870,Sara,Scott,417-132-4350,Female,W4903XA
8,563-39-4568,Richard,Peterson,253-528-3136,Male,T43592
9,676-77-9913,Aaron,Cooper,725-747-0429,Male,H44713
10,649-39-5406,Eric,Cox,984-936-3120,Male,V0300
11,450-03-8056,Courtney,Cox,775-763-0859,Female,H3535
12,709-81-3977,William,Perez,240-411-7539,Male,M86659
13,149-68-3729,Adam,Anderson,737-804-9398,Male,S46302
14,716-63-9672,James,Brooks,217-038-6963,Male,Q453
15,869-66-4089,Ethan,Miller,412-528-6788,Male,W130XXS
16,572-85-3166,Courtney,Russell,802-880-5849,Female,X014XXD
17,359-76-9716,Grace,Davis,567-024-4460,Female,S62638B
18,879-01-4432,Elizabeth,Kelly,915-925-6486,Female,D630
19,622-39-4171,Stephen,Miller,620-815-3377,Male,M1464
20,322-23-5810,Adam,Edwards,831-118-6628,Male,O300
21,161-03-0489,Timothy,White,480-918-0478,Male,S549
22,376-75-2689,Charlotte,Perry,316-504-1960,Female,S90454A
23,494-90-8678,Christopher,Thomas,610-887-3072,Male,S85991S
24,215-21-0119,Jonathan,Johnson,304-493-5640,Male,T458X5S
25,049-91-0007,Alyssa,Collins,936-483-6168,Female,S5101
26,905-88-0254,Matthew,Butler,970-460-7902,Male,T628X3A
27,798-47-3777,Zachary,Reed,201-359-6325,Male,S0085XS
28,217-60-3449,Stephanie,Lopez,872-397-4347,Female,T365X1
29,650-81-3728,Natalie,White,508-488-3778,Female,C4372
30,624-30-9310,Melissa,Brown,863-736-8292,Female,E10341
31,572-95-5846,Oliver,Phillips,912-689-3210,Male,S42035
32,981-55-3574,Sean,Wright,619-291-9148,Male,H21351
33,254-21-8553,Brittany,Ward,361-152-8682,Female,K5010
