id,ssn,date_of_visit,cost
1,884-11-7703,02/18/2022,943127
2,614-88-1028,09/23/2022,943988
3,730-41-3467,01/30/2022,18579
4,232-18-4016,09/18/2022,572004
5,607-17-5549,08/31/2023,526858
6,159-03-8545,02/17/2022,181329
7,887-48-1944,02/27/2021,862740
8,378-41-4974,08/25/2022,853448
9,780-53-1458,11/26/2023,690572
10,615-96-9869,02/04/2023,383386
11,191-23-5704,12/09/2022,614038
12,218-12-0185,04/15/2023,329462
13,586-62-8906,11/19/2023,834682
14,507-07-8860,02/25/2023,269435
15,405-22-5791,07/03/2022,834539
16,494-35-9727,09/14/2023,491340
17,408-18-2527,11/16/2022,564029
18,722-84-3928,11/22/2021,781384
19,701-45-2683,05/30/2023,745439
20,667-88-5242,12/26/2022,477231
21,391-47-5081,10/13/2021,950719
22,213-10-5404,08/19/2021,568094
23,529-30-0243,05/29/2021,30248
24,813-34-1692,08/20/2021,709085
25,104-24-8095,02/15/2023,338830
26,435-29-7350,11/25/2022,490191
27,724-27-8104,04/24/2021,416814
28,834-38-5633,11/08/2021,511483
29,551-65-8049,11/15/2022,584480
30,851-93-0019,01/12/2022,456193
31,383-35-8005,02/04/2022,142177
32,327-98-5000,12/29/2022,701008
33,103-24-7876,04/03/2022,182769
34,243-80-3650,04/14/2023,408399
35,840-44-7928,03/03/2022,353433
36,837-45-3845,03/09/2021,837479
37,127-39-8105,08/21/2023,234639
38,530-39-8202,08/01/2023,835920
39,341-53-5756,01/22/2023,133654
40,399-72-5834,09/24/2022,823225
41,590-70-9561,06/07/2021,90012
42,592-77-3289,04/17/2021,357870
43,105-55-2638,08/28/2021,283369
44,370-99-0494,03/15/2022,33054
45,547-62-1636,08/06/2021,275855
46,784-68-7453,09/13/2021,540117
47,715-82-7245,06/15/2022,394681
48,800-72-0569,04/29/2021,710277
49,236-07-8456,12/12/2022,421992
50,425-16-4956,11/28/2022,428035
51,732-86-6068,04/09/2022,730725
52,461-03-4662,04/02/2022,470714
53,298-09-3810,09/22/2021,823423
54,407-36-9459,11/10/2022,6153
55,650-07-8700,03/30/2023,151129
56,153-16-0332,01/28/2021,760211
57,733-53-5429,02/08/2022,912172
58,870-41-6821,06/01/2021,994991
59,442-70-0038,02/02/2023,407346
60,374-58-0353,06/04/2021,778083
61,470-74-2869,06/26/2021,351647
62,605-37-4620,01/12/2021,613123
63,492-31-9884,02/04/2023,959646
64,574-85-5119,07/04/2021,8255
65,519-38-1777,01/20/2023,506057
66,116-65-8951,04/18/2022,437104
67,802-30-2234,04/24/2021,448781
68,806-16-0597,02/17/2021,290611
69,475-74-6774,06/01/2021,864697
70,611-72-3590,07/31/2021,651541
71,781-23-0587,11/08/2023,954858
72,451-01-9495,06/04/2022,897825
73,433-58-5827,08/04/2021,744432
74,859-04-9508,05/16/2022,836062
75,761-62-6263,01/23/2023,213106
76,312-31-5347,07/27/2022,780891
77,259-12-1704,11/06/2023,462025
78,491-64-1817,12/15/2021,444975
79,882-48-2146,08/26/2022,80171
80,788-91-0581,04/10/2022,667812
81,675-66-7110,05/02/2021,51355
82,588-02-8953,05/08/2022,9369
83,234-63-1449,07/16/2023,547651
84,636-82-2933,07/26/2022,246787
85,873-60-4276,02/03/2022,196286
86,179-85-7151,09/04/2022,279929
87,370-45-1118,05/07/2021,847490
88,473-36-9403,05/26/2022,293935
89,396-14-4459,12/30/2022,507225
90,726-85-8854,05/13/2022,677050
91,489-77-9974,03/14/2022,537010
92,766-74-7870,07/30/2021,93606
93,538-01-1582,02/08/2023,544727
94,183-04-6890,01/18/2022,392854
95,396-23-5478,08/27/2023,525159
96,308-30-7285,07/19/2023,782488
97,699-35-9199,01/14/2022,582005
98,249-75-9010,01/25/2023,86803
99,179-47-8976,07/14/2021,652430
100,184-92-8653,07/17/2023,701365
101,274-73-2456,04/29/2022,90031
102,531-52-4945,05/21/2021,752897
103,690-35-0268,04/10/2022,772656
104,367-53-1605,11/09/2021,141075
105,288-18-2920,09/11/2023,979267
106,729-75-8753,08/09/2021,133587
107,830-03-5166,03/08/2022,16189
108,596-43-4029,08/24/2021,685571
109,326-05-4544,06/20/2021,564274
110,257-19-0776,01/26/2021,864380
111,569-69-4086,08/21/2022,588273
112,306-07-9184,04/26/2021,532725
113,527-90-4283,12/06/2021,982581
114,487-15-6769,01/11/2023,533418
115,684-32-7216,04/03/2022,346885
116,290-44-1840,10/01/2023,267818
117,496-63-3141,08/16/2023,647257
118,543-96-0311,03/23/2023,716367
119,332-06-0652,08/04/2021,353880
120,805-71-9762,03/01/2022,263320
121,289-35-3291,05/11/2023,559507
122,504-66-7961,06/10/2023,357498
123,268-74-2679,10/04/2023,836187
124,808-98-3529,01/26/2021,644340
125,347-45-4050,02/23/2022,802329
126,389-89-9519,10/09/2023,742763
127,111-80-4648,03/27/2022,28782
128,802-57-7800,05/24/2022,706903
129,420-68-9363,04/20/2023,907372
130,594-20-8073,10/26/2023,710239
131,729-23-3483,07/09/2022,496362
132,196-97-0442,05/27/2022,755668
133,259-88-3546,01/11/2023,743256
134,112-45-4091,05/16/2023,27177
135,432-10-4257,02/25/2021,273795
136,254-40-1419,09/15/2021,376654
137,658-11-1394,01/15/2021,473636
138,493-50-9198,04/03/2021,61760
139,404-39-1706,06/17/2023,510931
140,455-33-9697,07/15/2022,105604
141,209-23-5567,05/18/2022,881905
142,396-40-4285,12/09/2021,298017
143,344-84-9660,04/08/2021,757967
144,492-47-9159,01/26/2021,107637
145,140-33-7815,08/23/2023,431041
146,862-40-1571,07/05/2023,180255
147,430-59-6482,07/04/2021,909009
148,156-64-6076,05/11/2021,537950
149,162-86-6550,12/20/2021,587703
150,138-13-5665,10/30/2023,150729
151,659-94-3770,01/26/2021,923570
152,744-51-4173,05/01/2021,22311
153,336-34-4557,10/13/2022,925856
154,662-65-7663,10/02/2021,857214
155,223-74-0389,09/09/2023,388638
156,398-98-8237,06/09/2023,30794
