id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,154-92-4165,Risa,Dalziel,612-503-7542,Female,90,S72099J
2,182-51-6714,Samara,Ginty,446-329-9843,Female,52,H26002
3,461-35-3118,Johny,Lanmeid,799-336-6513,Male,67,S14117S
4,595-29-5947,Karon,Aslen,562-487-3294,Female,42,S43216
5,423-35-9917,Nicoli,Stembridge,155-195-9473,Female,43,W9311
6,484-62-0634,Trudi,Baggiani,291-331-7650,Genderfluid,104,L513
7,291-74-6137,Tammy,Madders,498-547-3736,Female,43,W010XXS
8,559-06-7910,Margareta,Hewes,606-473-6759,Female,64,T61773D
9,118-70-5530,Angelle,Petto,642-923-7566,Female,98,S72325C
10,258-27-1551,Elden,Leyland,291-926-4272,Male,104,S93323S
11,630-56-3160,Willyt,Ackland,873-438-0073,Female,3,T80910D
12,285-01-3323,Toby,Brosetti,603-837-8443,Male,30,A055
13,436-80-8933,Felita,Santorini,473-210-6773,Genderqueer,90,V736
14,410-44-4429,Agnese,Lefeuvre,381-676-0539,Female,44,M24312
15,444-37-6688,Darsie,Lautie,215-130-1307,Female,78,X963XXS
16,430-26-6293,Emmaline,Lundberg,970-507-9530,Female,10,H53133
17,264-45-7809,Morton,Crich,120-789-8324,Male,84,M25076
18,409-24-6965,Marcia,Memory,111-452-3170,Female,99,S3651
19,515-13-5192,Dita,Laurand,361-318-1708,Female,51,M20002
20,321-03-5287,Emmalee,Stutard,622-459-8534,Female,33,M2241
21,576-61-1775,Elinore,Kennler,986-187-2577,Female,80,D2372
22,827-64-5185,Faunie,Wollacott,128-223-7900,Female,86,S96821A
23,209-11-6666,Ethan,Relton,510-671-1165,Male,98,S59219S
24,100-12-0615,Jacquenetta,Prandini,418-613-1916,Female,82,F90
25,131-59-8461,Garrot,Partener,531-958-3813,Male,97,S42446K
26,414-70-7850,Morty,D'eye,508-831-8224,Male,61,S62156K
27,897-52-4520,Elysha,Pantin,981-867-8381,Female,43,V300XXS
28,752-12-5603,Lemuel,Schoroder,299-781-3983,Male,101,T457X3A
29,778-40-1854,Grissel,Migheli,587-209-4524,Agender,57,S79921A
30,224-92-5115,Ruy,Challenor,416-956-9968,Male,36,Q66
31,745-66-6389,Evonne,Alleway,467-272-3570,Polygender,44,N490
32,867-74-8769,Hobart,Hyett,630-617-1946,Genderqueer,12,S52531K
33,163-75-3033,Matty,Dikle,200-710-1701,Female,108,S76909S
34,670-80-0923,Charil,MacGovern,376-938-5037,Female,58,M4142
35,852-69-3145,Benetta,Streather,723-667-4658,Female,69,B9682
36,278-86-5699,Hillel,Pideon,382-621-2595,Male,56,Y0881XS
37,228-67-3887,Michail,Commin,396-379-5862,Male,78,I07
38,733-28-5756,Gunther,D'Alesco,243-157-5878,Male,31,S52182M
39,183-03-0255,Dov,Ryrie,492-686-9317,Male,79,S20362
40,757-40-3176,Jessy,De Angelo,288-254-2186,Bigender,9,S95111A
41,131-75-3866,Mackenzie,O'Scanlan,430-640-8855,Male,40,S80872A
42,431-13-6493,Burke,Twelve,625-737-6664,Male,61,S13161
43,788-88-8311,Umberto,Jellman,292-673-9155,Male,92,T434X6A
44,346-57-1554,Solly,Reagan,128-605-7211,Male,88,T3402XD
45,571-85-2150,Jere,Ralling,676-988-9587,Male,97,H4920
46,895-76-5574,Bale,Renfree,309-657-3862,Male,21,V160XXA
47,776-49-1320,Hildagarde,Heyfield,658-627-6334,Female,6,S72136S
48,636-66-2724,Lorianna,Blanc,816-687-9579,Female,23,G214
49,778-71-2082,Bartram,Dawtre,860-883-6453,Male,91,V746XXD
50,450-01-0771,Hendrick,Gallimore,613-112-5277,Male,81,S91256S
51,687-65-7060,Moira,Huzzay,875-150-2204,Female,76,D4010
52,866-92-7223,Vasili,Rushmer,547-531-0318,Male,108,O601
53,839-02-3730,Eleanore,Boness,206-539-2993,Female,10,T674
54,460-72-6971,Kaia,Matisoff,520-455-2050,Female,1,S90212D
55,804-31-7513,Evered,Evitt,113-688-1288,Male,35,S5291XQ
56,850-47-2018,Sile,Olenin,794-749-8876,Female,42,T8460XS
57,525-08-9943,Berty,Stanyon,616-388-0289,Male,82,S66112A
58,471-17-9243,Gaby,Moutray Read,271-558-8764,Male,82,T84191A
59,349-94-1727,Tanner,Whittall,106-202-6068,Male,83,T63003S
60,458-44-2865,Camey,Cockell,572-620-6088,Male,71,S99141P
61,115-42-6333,Silva,Lewknor,820-412-5775,Genderqueer,37,S6520
62,260-29-6849,Ewan,Fonte,115-916-9546,Male,24,V131XXA
63,385-59-9092,Keefe,Sipson,671-660-6923,Male,60,A380
64,767-99-0523,Domingo,Cossam,294-274-4177,Male,27,M1A2111
65,465-65-6901,Charlene,De Wolfe,397-541-3111,Female,35,G7113
66,343-78-2393,Jim,Hinder,495-333-9772,Male,85,Y782
67,227-85-4313,Jarret,Caudelier,846-833-5940,Male,89,T24111
