id,snn,first_name,last_name,phone_number,gender,diagnosis_code
1,675-21-3186,Nial,Beldum,207-433-9985,Male,S13121A
2,420-88-0751,Hastie,De Antoni,608-140-6197,Non-binary,S62624G
3,799-10-1929,Laney,Bernat,122-746-2660,Female,I7035
4,385-10-5120,Catlin,Skey,354-166-0302,Female,C8304
5,632-95-1083,Gayelord,Tuminelli,673-314-7345,Male,T25311A
6,121-44-8397,Jane,Guidone,890-656-3336,Female,S62232D
7,137-03-3891,Debbi,Portal,635-765-1562,Female,T24309D
8,879-29-9020,Jan,Hulse,992-670-2461,Female,V22
9,512-91-8812,Cosette,Poltone,975-277-2619,Female,S56413A
10,602-78-6453,Sile,Blissitt,211-552-3312,Female,S46202S
11,822-47-7791,Aubert,Ekkel,107-100-4545,Male,M86372
12,731-73-0054,Grissel,Colqueran,338-371-6478,Female,T23202D
13,334-12-1432,Domenic,Kornas,679-278-1158,Male,O9862
14,365-07-4214,Guinevere,Pezey,742-575-1540,Female,M84621D
15,893-80-0280,Whitney,Biernacki,780-990-7452,Female,V639XXD
16,727-49-5479,Mickey,Neasam,203-710-0739,Male,S273
17,762-94-4238,Corina,Goodayle,203-983-0380,Female,T476X6A
18,240-18-1422,Faustina,Lambourne,214-210-4577,Female,S62526A
19,454-24-5109,Gannie,Egarr,185-684-1160,Male,R261
20,771-52-1979,Jodee,Tunny,751-566-6022,Female,S6992XS
21,189-76-5232,Vinnie,Tuberfield,362-923-1095,Polygender,W052XXA
22,543-44-1606,Sofie,Knocker,290-787-6269,Non-binary,V220XXD
23,172-73-6223,Major,Saddleton,600-664-1037,Male,H57053
24,153-30-7041,Harlen,Faires,518-705-9545,Male,S23130A
25,675-56-1961,Clement,Fricker,204-781-6283,Agender,S72124F
26,853-82-5858,Elroy,Fellows,562-471-5255,Male,T400X5
27,352-48-5513,Lucia,Bifield,872-436-2364,Genderfluid,S72116M
28,397-30-0931,Vanya,Fierman,757-185-8124,Male,H4711
29,764-70-2150,Dawn,Fetherston,969-967-9966,Bigender,S12041K
30,634-05-6663,Reynolds,Ragot,120-768-5993,Male,S82233E
31,553-09-8918,Jessey,Greenshiels,343-559-0792,Male,A3700
32,437-40-7612,Basil,Knowlman,634-114-6286,Male,Z635
33,370-79-3310,Toiboid,Gianelli,604-740-0918,Male,S61552S
34,368-26-5971,Ulick,Ziemen,112-962-7984,Male,K08
35,460-37-7899,Perry,Station,559-898-8106,Male,T8453XS
36,286-34-9293,Wallie,Zukierman,183-903-5947,Male,Y92233
37,511-04-9883,Imogene,McMillan,642-670-1409,Female,S92111
38,675-28-9601,Anetta,Ambridge,744-812-2979,Female,T463X5S
39,458-73-2435,Jillayne,Sitford,659-167-3894,Female,M268
40,681-87-3042,Thurstan,Eade,289-261-9738,Male,I272
41,891-38-9771,Des,Franciotti,829-251-0837,Male,H30101
42,362-72-3553,Curcio,Cremins,484-405-5602,Male,S32424S
43,825-19-8411,Serene,Jolland,786-173-8996,Genderqueer,S76991
44,660-47-5653,Zorana,Steventon,966-597-6162,Polygender,T465X4
45,180-14-7501,Maurizia,Rayer,566-803-2571,Female,S21332
46,461-09-4071,Bret,Cozens,513-750-7269,Male,S61052D
47,678-14-2255,Richart,Birkenhead,972-273-5441,Male,S3982
48,831-56-5510,Tedie,Kearford,508-767-1160,Male,R1313
49,334-59-0306,Lyell,Noon,992-770-2334,Male,H654
50,225-35-0951,Claudian,McIlwrick,817-950-8622,Male,M9972
51,552-65-6872,Donny,Heinzler,762-887-8394,Male,S62131G
52,414-91-1326,Ellery,Mullins,278-816-1898,Male,T8324XD
53,744-90-5146,Ben,Olifaunt,506-669-0286,Male,S90129A
54,290-73-3206,Rikki,Govan,360-595-0910,Male,W16131
55,192-89-8094,Cassius,Faichney,849-282-7929,Male,S66124A
56,322-49-4308,Stacee,Mourant,934-393-0973,Female,T7803
57,820-72-5345,Willie,Faltin,236-778-8081,Male,H21552
58,781-26-6552,Collette,Allam,619-246-2189,Genderqueer,W3089
59,237-22-5886,Nixie,Paunsford,524-142-3249,Female,N995
60,336-19-3794,Pincas,Baldery,874-557-8070,Male,T1592
61,519-33-9474,Brooks,Treanor,337-468-1136,Female,S82492N
62,836-92-2847,Chandler,Ketteridge,481-232-6364,Male,O29129
63,247-32-2157,Abdul,Girkins,922-557-3423,Male,V303XXD
64,878-57-7451,Jimmie,Antoniutti,838-245-5366,Male,V421XXS
65,410-24-1317,Mycah,Kahane,101-123-5959,Male,P9163
66,379-12-4358,Faulkner,Coleyshaw,871-319-9156,Male,H831
67,855-42-1234,Olga,Wheatcroft,707-145-6563,Female,S27322A
68,314-11-7627,North,Blaney,577-216-1333,Male,S52025
69,538-21-2961,Dominick,Von Brook,922-107-3432,Non-binary,H93099
70,330-48-5282,Stavros,Kiss,482-419-4812,Male,T387X4S
71,617-43-5477,Beauregard,Wey,839-636-5889,Male,T65811D
72,200-52-1276,Elias,Vickress,660-110-1090,Male,E113412
73,331-11-6319,Sherry,Farfolomeev,765-516-0257,Female,V9314XD
74,174-54-0270,Karee,Shortin,117-579-0122,Female,S37591S
75,770-78-3679,Mareah,Annesley,670-428-4822,Female,S50379S
76,438-35-2071,Kattie,Noli,229-743-8095,Female,S2590XA
