id,snn,medication
1,656-59-2502,Givenchy TEINT COUTURE Long Wearing Fluid Foundation with Sunscreen Broad Spectrum SPF 20 ELEGANT BROWN
2,202-57-3770,Assured Alcohol Cleansing Pad
3,246-76-3909,Perfect Purity HotIce
4,578-22-0242,Acetaminophen Rapid Release
5,828-13-9396,ZOLINZA
6,449-03-7052,Amoxicillin
7,163-24-2702,Immune Forte
8,267-26-5837,Cuprum Metallicum
9,330-29-2027,SEROQUEL
10,696-82-2910,Fenofibrate
11,509-94-4531,Blistex
12,360-43-5992,Quetiapine fumarate
13,188-77-7833,Divalproex Sodium
14,267-72-5917,Livalo
15,270-66-1882,Danazol
16,403-10-9340,Arth RX Topical Analgesic
17,450-24-2056,Al-Inflam
18,271-80-1999,LISINOPRIL
19,461-94-7110,Clobetasol Propionate Emulsion
20,515-38-1592,Potassium Chloride in Dextrose and Sodium Chloride
21,898-13-0328,Necon 0.5/35
22,570-75-9918,Clorazepate Dipotassium
23,258-10-3140,Terocin
24,848-87-6076,Cleocin Phosphate
25,493-89-3839,Methocarbamol
26,122-58-7309,Injury Topical
27,885-75-2623,Terbinafine Hydrochloride
28,348-71-6025,Cymbalta
29,748-99-6370,Ibuprofen
30,683-32-7134,Lithium Carbonate
31,617-07-9169,Sucralfate
32,150-02-1638,Anticavity Fluoride Rinse
33,289-05-8761,IMODIUM
34,141-06-8492,Cuvposa
35,351-87-5749,Homeopathic Hangover Formula
36,371-33-9589,Aminophylline
37,818-90-7438,Diphenhydramine Hydrochloride
38,196-98-6851,Pure Grace Antiperspirant and Deodorant
39,466-23-8683,ISTODAX
40,631-80-4594,Teething - Colic
41,333-08-9541,Covergirl Queen Collection All Day Flawless 3in1 Foundation
42,874-37-1186,Cimetidine
43,636-84-2070,CEFPROZIL
44,685-85-8710,CLARINS Broad Spectrum SPF 30 Sunscreen For Face Wrinkle Control
45,891-94-1215,Metoprolol Tartrate
46,676-97-4331,Menstrual - PMS
47,301-04-7383,Colgate
48,374-25-6631,MEDI-SULTING TOPICAL PAIN RELIEF
49,201-56-8667,Ranitidine
50,450-19-0326,Boy Butter
51,104-95-9395,Losartan Potassium
52,258-35-0736,Upper Respiratory Staph Strep Combination
53,830-65-4123,Extra Strength Gas Relief
54,255-60-1247,temazepam
55,404-15-4933,Risperidone
56,707-55-8193,Milrinone Lactate
57,754-89-9704,Treatment Set TS332486
58,305-52-6045,Bupropion Hydrochloride
59,596-06-6906,Benazepril Hydrochloride and Hydrochlorothiazide
60,777-55-7745,Fresh Sugar Passion Tinted Lip Treatment SPF 15
61,113-72-9243,INSTANT Hand Sanitizer with Moisturizers All In One
62,139-36-8095,DIGOX
63,880-52-7479,Lunesta
64,399-02-6788,CIPRODEX
