id,snn,first_name,last_name,phone_number,gender,age,diagnosis_code
1,558-91-7255,Mac,Middlemass,623-448-5056,Male,72,T2126XD
2,791-76-2128,Gladi,Crumbleholme,173-181-7466,Female,5,S12100
3,708-58-1873,Ransell,Banane,828-624-4857,Male,87,S92426G
4,251-76-3588,Walker,McGrowther,687-468-4738,Male,96,W9429XD
5,783-25-4957,Ruy,Dumberrill,288-664-0173,Male,55,Z8506
6,366-14-2323,Bastian,Wathey,891-540-2225,Male,88,S61519A
7,248-26-9399,Aristotle,Branwhite,159-554-5490,Male,87,S52345A
8,880-18-3228,Iorgos,Revance,684-568-7853,Male,35,S75912A
9,360-19-1890,Case,Kirlin,526-344-2463,Non-binary,43,S31021
10,774-30-5954,Skipton,Pentin,554-756-0829,Male,79,S65991
11,670-30-5434,Georgine,Fullicks,313-881-3452,Female,61,M26221
12,610-03-5089,Martelle,Mellanby,865-667-2836,Female,70,O6022X4
13,576-21-3188,Israel,Hegg,247-875-8303,Male,99,M86151
14,541-12-9664,Lyndsay,Balsdone,544-128-4710,Agender,33,S97102A
15,429-85-8445,Annissa,Pryce,154-389-4419,Female,93,T543X2D
16,199-69-1186,Lovell,Thorn,248-522-5934,Male,93,L250
17,210-22-4565,Anabel,Grimsley,576-520-7535,Female,67,S8981
18,120-64-0083,Ruthanne,Fidian,734-246-7647,Female,2,S00402D
19,442-08-1067,Kristoffer,Azam,177-214-2439,Male,79,M21279
20,717-18-6358,Heriberto,Dowley,669-307-5436,Male,46,T422X5A
21,378-74-7685,Randi,Churchman,423-725-1172,Male,27,S63023
22,660-74-5106,Geoffry,Physick,928-106-6118,Male,48,L97113
23,680-26-3373,Oby,Cartner,544-416-9555,Male,59,S06352A
24,609-46-0079,Krystalle,Isacsson,353-976-6288,Female,85,S1501
25,222-98-4150,Dewie,Panks,963-383-8268,Male,73,S93336
26,898-17-9212,Vita,Housbie,343-370-7388,Female,98,V759XXA
27,425-04-6111,Doy,Bratton,559-998-0102,Male,22,N35014
